noise,replicate,source_ari,exact_pair_recovery,target_ari,coverage,prototype_size,converged,mean_source_margin,mean_target_score,mean_target_margin
0.5,20,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,21,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,22,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,23,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,24,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,25,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,26,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,27,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,28,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,29,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,30,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,31,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,32,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,33,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,34,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,35,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,36,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,37,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,38,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,39,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,0,1.0,1.0,1.0,1.0,12,True,0.9972800367684738,1.0,1.0
0.75,1,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,2,1.0,1.0,1.0,1.0,12,True,1.0,0.9986111111111112,0.9972222222222221
0.75,3,1.0,1.0,1.0,1.0,12,True,0.9972800367684738,1.0,1.0
0.75,4,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,5,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,6,1.0,1.0,1.0,1.0,12,True,0.9972800367684738,1.0,1.0
0.75,7,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,8,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,9,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,10,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,11,1.0,1.0,1.0,1.0,12,True,0.9972800367684738,1.0,1.0
0.75,12,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,13,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,14,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,15,1.0,1.0,1.0,1.0,12,True,1.0,0.9986111111111112,0.9972222222222222
0.75,16,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,17,1.0,1.0,1.0,1.0,12,True,1.0,0.9986111111111111,0.9972222222222222
0.75,18,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,19,1.0,1.0,1.0,1.0,12,True,1.0,0.9986111111111111,0.9972222222222222
0.75,20,1.0,1.0,1.0,1.0,12,True,0.9972800367684738,1.0,1.0
0.75,21,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,22,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,23,1.0,1.0,1.0,1.0,12,True,0.9972800367684738,1.0,1.0
0.75,24,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,25,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,26,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,27,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,28,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,29,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,30,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,31,1.0,1.0,1.0,1.0,12,True,0.9972800367684738,1.0,1.0
0.75,32,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,33,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,34,1.0,1.0,1.0,1.0,12,True,0.9972800367684738,1.0,1.0
0.75,35,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,36,1.0,1.0,1.0,1.0,12,True,1.0,0.9986111111111111,0.9972222222222222
0.75,37,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.75,38,1.0,1.0,1.0,1.0,12,True,1.0,0.9986111111111112,0.9972222222222221
0.75,39,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
